id;issue_d;loan_amnt;loan_status;funded_amnt;term;int_rate;installment;grade;sub_grade;verification_status;url;addr_state;total_pymnt
48010226;May-15;35000.0;Current;35000.0; 36 months;13.33;1184.86;C;C3;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=48010226;CA;9452.96
57693261;;30000.0;Current;30000.0; 36 months;юли.89;938.57;A;A5;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=57693261;NY;4679.7
59432726;Sep-15;15000.0;Current;15000.0; 36 months;ное.53;494.86;B;B5;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=59432726;PA;1969.83
53222800;Jul-15;9600.0;Current;9600.0; 36 months;юли.89;300.35;A;A5;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=53222800;OH;1793.68
57803010;Aug-15;8075.0;Current;8075.0; 36 months;19.19;296.78;;E3;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=57803010;TX;1178.51
63398019;Oct-15;14400.0;Current;14400.0; 60 months;13.99;334.99;;C4;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=63398019;AL;681.17
60850626;Sep-15;;Current;13000.0; 60 months;24.99;381.5;F;F4;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=60850626;CA;1126.45
46816139;Apr-15;7500.0;Current;7500.0; 36 months;13.33;253.9;C;C3;;https://www.lendingclub.com/browse/loanDetail.action?loan_id=46816139;GA;2025.65
63918356;Nov-15;8000.0;Current;8000.0; 36 months;юли.89;250.29;A;A5;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=63918356;MA;497.07
63651616;Nov-15;7200.0;Current;7200.0; 36 months;дек.59;241.18;C;C2;;https://www.lendingclub.com/browse/loanDetail.action?loan_id=63651616;TX;512.57
56069330;Jul-15;;Current;6200.0; 36 months;15.61;216.79;D;D1;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=56069330;VA;1073.2
39641145;Jan-15;21000.0;Late (31-120 days);21000.0; 36 months;дек.39;701.42;C;C1;;https://www.lendingclub.com/browse/loanDetail.action?loan_id=39641145;IN;5582.45
52311217;Jun-15;15000.0;;15000.0; 60 months;13.33;343.84;C;C3;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=52311217;CO;15643.5
65775524;Nov-15;10000.0;Current;10000.0; 60 months;13.18;228.46;C;C3;;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65775524;OK;217.48
57336468;Aug-15;21000.0;;21000.0; 36 months;дек.29;700.42;C;C1;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=57336468;CA;3487.76
41480201;Mar-15;12725.0;Fully Paid;12725.0; 60 months;17.86;322.17;D;D5;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=41480201;NC;14262.61
58390667;Aug-15;22900.0;Current;22900.0; 60 months;19.99;606.59;E;E4;;https://www.lendingclub.com/browse/loanDetail.action?loan_id=58390667;OR;2982.09
57155656;;4000.0;Current;4000.0; 36 months;ное.53;131.97;B;B5;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=57155656;MD;672.29
49218915;Jun-15;16875.0;Current;16875.0; 60 months;19.19;439.52;E;E3;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=49218915;TX;2736.06
50364957;Jun-15;14400.0;Current;14400.0; 36 months;юли.26;446.35;A;A4;;https://www.lendingclub.com/browse/loanDetail.action?loan_id=50364957;TX;3118.64
65985055;Dec-15;12000.0;Issued;12000.0; 36 months;юли.26;371.96;A;A4;;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65985055;NV;0.0
61772655;Oct-15;20150.0;Current;20150.0; 36 months;сеп.17;642.37;B;B2;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=61772655;SC;1274.47
59230683;Sep-15;21000.0;Current;21000.0; 36 months;юли.89;657.0;A;A5;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=59230683;GA;12609.59
58030770;Aug-15;13200.0;Current;13200.0; 36 months;юни.24;403.01;;A2;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=58030770;VA;2010.47
65676913;Nov-15;15000.0;Current;15000.0;;юни.24;457.97;A;A2;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65676913;NY;447.57
63177012;;11250.0;Current;11250.0; 36 months;дек.69;377.38;C;C2;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=63177012;TX;738.9
41021489;Mar-15;16400.0;Current;16400.0; 60 months;;381.52;C;C4;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=41021489;OR;3789.71
60417140;;8400.0;Current;8400.0; 36 months;юли.89;262.8;A;A5;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=60417140;CA;1047.52
43125650;Mar-15;28000.0;Current;28000.0; 60 months;19.52;734.38;E;E3;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=43125650;LA;7313.44
65662544;Nov-15;20000.0;Current;20000.0; 60 months;15.41;480.12;D;D1;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65662544;CA;454.44
40298097;Feb-15;;Current;13000.0; 36 months;16.49;460.2;D;D3;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=40298097;TX;5038.38
66464411;Dec-15;18000.0;Current;18000.0; 60 months;15.41;432.11;D;;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=66464411;CA;0.0
65404741;Nov-15;10000.0;Current;10000.0; 36 months;ное.49;329.72;B;;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65404741;IL;313.76
51880826;Jun-15;6000.0;Current;6000.0; 36 months;окт.99;196.41;B;B4;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=51880826;NY;1347.39
59543019;Sep-15;24000.0;;24000.0; 60 months;21.99;662.72;F;F1;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=59543019;DC;2621.56
57862311;Aug-15;21600.0;Current;21600.0; 36 months;дек.69;724.57;C;C2;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=57862311;NC;3607.62
61478852;;8400.0;Current;8400.0; 36 months;16.99;299.45;D;D3;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=61478852;FL;890.42
41183017;Feb-15;17550.0;Fully Paid;17550.0; 60 months;21.67;481.43;E;E5;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=41183017;WI;20450.2
46786916;May-15;6000.0;Current;6000.0; 36 months;дек.69;201.27;C;C2;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=46786916;TX;1431.89
65642870;Nov-15;12000.0;Current;12000.0; 36 months;сеп.17;382.55;B;B2;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65642870;FL;
66632123;Dec-15;21000.0;Current;21000.0; 36 months;13.67;714.37;C;C4;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=66632123;MD;682.47
52199534;Jun-15;12000.0;Current;12000.0; 60 months;юли.89;;A;A5;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=52199534;TX;1693.57
39730671;Jan-15;35000.0;Current;35000.0; 60 months;дек.99;796.18;C;C2;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=39730671;CA;8732.72
56622510;Jul-15;3600.0;Current;3600.0; 36 months;16.99;128.34;D;D3;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=56622510;LA;642.83
65692571;Nov-15;13000.0;Current;13000.0; 60 months;авг.18;264.72;B;B1;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65692571;FL;
46295185;Apr-15;11000.0;Current;11000.0; 36 months;;360.08;B;B4;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=46295185;FL;3227.29
58832358;Aug-15;9500.0;Current;9500.0; 36 months;;294.47;A;A4;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=58832358;TX;1197.04
53222282;Jul-15;18850.0;Current;18850.0; 60 months;20.99;509.85;E;E5;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=53222282;NY;3190.98
48276008;May-15;7500.0;;7500.0; 36 months;сеп.17;239.1;B;B2;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=48276008;OH;1908.98
39299787;Jan-15;29850.0;Current;29850.0; 60 months;16.49;733.69;D;D3;;https://www.lendingclub.com/browse/loanDetail.action?loan_id=39299787;MI;8222.65
47551165;May-15;30000.0;Current;30000.0; 60 months;23.99;;F;F2;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=47551165;NC;6862.98
61712601;Oct-15;18025.0;Current;18025.0; 60 months;дек.29;403.61;C;C1;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=61712601;MA;1229.28
65594568;Nov-15;2100.0;Current;2100.0;;окт.99;68.75;B;B4;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65594568;OH;68.11
50567210;Jun-15;30000.0;Late (31-120 days);30000.0; 36 months;17.57;1078.12;D;;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=50567210;NC;3205.08
62347203;Oct-15;11200.0;Current;11200.0; 36 months;;399.26;D;D3;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=62347203;MD;1176.64
43924642;Apr-15;18150.0;Current;18150.0; 60 months;17.57;456.66;;D4;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=43924642;WI;4074.51
41226723;Feb-15;15125.0;Current;15125.0; 60 months;16.99;375.82;;D3;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=41226723;WI;3743.92
38448211;Jan-15;8000.0;Current;; 36 months;авг.67;253.18;B;B1;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=38448211;MD;3034.31
63158279;Oct-15;7200.0;Current;; 36 months;дек.69;241.53;C;C2;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=63158279;KY;477.98
66520424;Dec-15;9800.0;Current;; 36 months;сеп.76;315.12;B;B3;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=66520424;PA;0.0
38467857;Jan-15;10000.0;Fully Paid;10000.0; 36 months;дек.99;336.9;C;C2;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=38467857;IN;11072.03
55968781;Aug-15;16750.0;Current;16750.0; 60 months;17.57;421.44;D;D4;;https://www.lendingclub.com/browse/loanDetail.action?loan_id=55968781;GA;2090.85
65089289;Dec-15;30000.0;Current;30000.0; 36 months;ное.49;989.14;B;B5;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65089289;NY;969.99
65403660;Nov-15;12500.0;Current;12500.0; 36 months;юли.26;387.46;A;A4;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65403660;IL;374.86
40372163;Feb-15;25000.0;Current;25000.0; 60 months;17.86;632.94;;D5;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=40372163;NY;6937.53
53040428;Jul-15;7700.0;Current;7700.0; 36 months;ное.53;254.03;B;B5;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=53040428;FL;1514.32
59210835;Sep-15;;Current;15200.0; 60 months;окт.99;330.41;B;B4;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=59210835;CA;1312.36
64872909;Nov-15;20000.0;Current;20000.0; 60 months;дек.59;450.88;C;C2;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=64872909;;880.78
58410618;Aug-15;35000.0;Current;35000.0; 36 months;16.99;1247.68;D;D3;;https://www.lendingclub.com/browse/loanDetail.action?loan_id=58410618;NY;4924.65
44755624;Apr-15;25000.0;Current;25000.0;;юли.89;505.6;A;A5;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=44755624;MN;4033.84
55130401;Jul-15;4800.0;In Grace Period;4800.0; 36 months;16.99;171.11;D;D3;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=55130401;CA;851.02
37978181;Jan-15;12000.0;Current;12000.0; 36 months;14.31;;C;C4;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=37978181;TX;7548.35
43106337;Apr-15;35000.0;Current;35000.0; 60 months;;760.82;B;B4;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=43106337;WV;6826.01
65332148;Nov-15;24000.0;Current;24000.0; 60 months;13.18;548.29;C;C3;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65332148;GA;1079.01
59199592;Sep-15;22800.0;Current;22800.0; 36 months;13.33;771.86;C;C3;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=59199592;MO;3070.56
40582979;Feb-15;24000.0;Current;24000.0; 36 months;ное.44;790.74;B;;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=40582979;SC;9501.41
44085228;Mar-15;16000.0;Current;16000.0; 60 months;18.84;413.65;E;E2;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=44085228;GA;3706.1
46777111;May-15;12000.0;Current;12000.0; 36 months;окт.99;392.81;B;;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=46777111;CA;3135.15
46349070;Apr-15;8000.0;Fully Paid;8000.0; 36 months;дек.69;268.36;C;C2;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=46349070;IN;8535.35
46486249;Apr-15;19200.0;Current;19200.0; 60 months;сеп.99;407.85;B;B3;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=46486249;MO;3241.49
61522878;Oct-15;18500.0;Current;18500.0; 60 months;окт.99;402.15;B;B4;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=61522878;CA;1178.21
63823540;Nov-15;14000.0;Current;14000.0; 60 months;17.57;352.25;D;;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=63823540;IL;947.42
61394215;Oct-15;20750.0;Current;20750.0; 36 months;сеп.17;661.49;B;;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=61394215;NY;1359.97
56009236;Jul-15;8200.0;Fully Paid;8200.0; 36 months;14.65;282.86;;C5;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=56009236;NY;8549.16
44856133;Apr-15;20400.0;Current;20400.0; 60 months;16.99;506.89;D;D3;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=44856133;NY;4580.64
67838623;Dec-15;16000.0;Current;; 36 months;16.55;566.87;D;D2;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=67838623;TX;0.0
63290338;Oct-15;13500.0;Current;13500.0; 60 months;23.99;388.29;F;F3;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=63290338;VA;659.63
56300327;Aug-15;24375.0;Current;24375.0; 60 months;22.99;687.01;F;;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=56300327;TN;3403.92
38311414;Jan-15;15000.0;Current;15000.0; 60 months;13.66;346.39;C;C3;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=38311414;MD;4145.3
38626358;Jan-15;8000.0;Current;8000.0; 36 months;14.31;274.63;C;C4;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=38626358;TX;3014.57
66433648;Dec-15;10000.0;Current;10000.0; 36 months;;325.69;B;B4;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=66433648;OR;319.78
43749561;Mar-15;28375.0;Current;28375.0; 36 months;13.99;969.66;C;C4;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=43749561;IL;8704.89
52738877;Jun-15;13150.0;Current;13150.0; 36 months;17.86;474.49;D;D5;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=52738877;NY;
48212284;May-15;;Current;23000.0; 60 months;18.25;587.19;E;E1;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=48212284;NY;4650.88
63415193;Nov-15;5400.0;Current;5400.0; 36 months;12.май;179.49;C;C1;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=63415193;NY;
61470409;Oct-15;10400.0;Current;10400.0; 36 months;13.99;355.4;C;C4;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=61470409;CA;1058.12
61493421;Oct-15;10000.0;Current;10000.0; 60 months;13.99;232.64;C;C4;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=61493421;UT;682.38
39389147;Jan-15;16000.0;Current;16000.0; 60 months;дек.39;359.08;C;C1;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=39389147;CO;3927.85
66463837;Dec-15;28600.0;Current;28600.0; 60 months;18.99;741.75;E;E3;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=66463837;NC;0.0
51526688;Jun-15;1600.0;Current;1600.0; 36 months;13.99;54.68;C;C4;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=51526688;;381.52
46546565;Apr-15;18000.0;Current;; 60 months;22.99;507.33;F;F1;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=46546565;NY;4046.51
57265378;Aug-15;3700.0;Current;3700.0; 36 months;15.61;129.37;D;D1;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=57265378;NY;
55817465;Jul-15;12000.0;Current;12000.0; 36 months;май.32;361.38;A;A1;;https://www.lendingclub.com/browse/loanDetail.action?loan_id=55817465;TX;2148.36
61411398;Oct-15;5000.0;Current;5000.0; 36 months;ное.53;164.96;B;B5;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=61411398;FL;486.87
63348442;Oct-15;16000.0;Current;16000.0; 36 months;авг.18;502.72;B;B1;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=63348442;IL;998.17
52406414;Jun-15;15000.0;Current;15000.0; 60 months;окт.99;326.07;B;B4;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=52406414;OH;1986.9
66521796;Dec-15;13000.0;Current;13000.0; 36 months;юни.24;396.91;;A2;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=66521796;IL;392.4
41920227;Mar-15;;Current;13200.0; 36 months;сеп.17;420.81;B;B2;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=41920227;NY;4201.38
61340823;Oct-15;6000.0;Current;6000.0; 36 months;юли.89;187.72;A;A5;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=61340823;TX;560.53
60337081;Sep-15;8000.0;Current;8000.0; 36 months;авг.18;251.36;;B1;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=60337081;TX;998.17
58603265;;10000.0;Current;10000.0; 36 months;13.99;341.73;C;C4;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=58603265;AZ;1717.97
58633617;Aug-15;4800.0;Current;4800.0; 36 months;;150.82;B;B1;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=58633617;VA;598.92
51849987;Jun-15;6000.0;Current;6000.0; 36 months;ное.53;197.95;B;B5;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=51849987;;1191.54
55362062;Jul-15;19200.0;Current;19200.0; 36 months;авг.18;;B;B1;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=55362062;AZ;3007.57
44077258;Apr-15;10000.0;;10000.0; 36 months;ное.53;329.91;B;B5;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=44077258;IN;2962.78
37601431;Jan-15;15000.0;Current;15000.0; 60 months;13.66;346.39;C;C3;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=37601431;GA;4133.91
46254202;Apr-15;18000.0;Current;18000.0; 36 months;юни.92;555.13;A;A4;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=46254202;NJ;6032.33
60974435;Oct-15;35000.0;Current;35000.0;;16.99;1247.68;D;D3;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=60974435;MA;3462.22
46105059;Apr-15;20000.0;Current;20000.0; 60 months;окт.99;434.75;B;B4;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=46105059;TN;3453.58
59142000;Sep-15;35000.0;Current;35000.0; 36 months;16.99;1247.68;D;D3;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=59142000;MN;4957.68
43275781;Mar-15;;Current;11200.0; 60 months;дек.69;253.07;C;C2;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=43275781;LA;2522.8
65261272;Nov-15;12575.0;Current;12575.0; 60 months;21.99;347.24;;F1;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65261272;OR;331.88
38648002;;8550.0;Current;8550.0; 36 months;19.24;314.45;E;E2;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=38648002;FL;3449.81
55230401;Jul-15;15000.0;Current;15000.0; 36 months;авг.18;471.3;B;B1;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=55230401;OH;2814.17
65985378;Dec-15;28000.0;Current;28000.0; 60 months;13.18;639.67;C;C3;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65985378;;598.67
61381341;Oct-15;12000.0;Current;12000.0; 36 months;юли.26;371.96;A;A4;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=61381341;NY;1111.04
67235852;Dec-15;14000.0;Current;14000.0; 60 months;;357.04;E;E1;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=67235852;KS;328.73
65413434;Nov-15;3600.0;Current;3600.0; 36 months;14.33;123.62;C;;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65413434;WV;244.37
43185993;Apr-15;20000.0;;20000.0; 60 months;15.61;482.23;D;D1;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=43185993;MO;4322.73
49218577;Jun-15;35000.0;Current;35000.0; 36 months;дек.69;1174.07;C;C2;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=49218577;CA;8193.81
54404762;Jul-15;7500.0;Current;7500.0; 36 months;ное.53;;B;B5;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=54404762;CA;1479.78
